Θユら戳,ユ澄る,Θユ丁,秨絃基,程蔼基,程基,Μ絃基,Θユ秖
20200211,202002     ,111303,11680.0,11682.0,11680.0,11680.0,82
20200211,202002     ,111403,11680.0,11682.0,11680.0,11682.0,168
20200211,202002     ,111501,11682.0,11683.0,11681.0,11682.0,130
20200211,202002     ,111600,11682.0,11683.0,11679.0,11679.0,246
20200211,202002     ,111700,11679.0,11679.0,11672.0,11672.0,818
20200211,202002     ,111800,11671.0,11672.0,11667.0,11669.0,1256
20200211,202002     ,111900,11669.0,11672.0,11667.0,11671.0,536
20200211,202002     ,112000,11671.0,11675.0,11670.0,11675.0,378
20200211,202002     ,112101,11675.0,11675.0,11671.0,11672.0,300
20200211,202002     ,112200,11673.0,11675.0,11672.0,11675.0,202
20200211,202002     ,112300,11675.0,11677.0,11674.0,11677.0,254
20200211,202002     ,112400,11676.0,11678.0,11676.0,11678.0,96
20200211,202002     ,112500,11677.0,11678.0,11676.0,11678.0,236
20200211,202002     ,112603,11677.0,11679.0,11674.0,11675.0,352
20200211,202002     ,112700,11675.0,11677.0,11673.0,11673.0,282
20200211,202002     ,112803,11673.0,11673.0,11671.0,11672.0,240
20200211,202002     ,112901,11671.0,11673.0,11671.0,11671.0,86
20200211,202002     ,113000,11671.0,11672.0,11671.0,11672.0,120
20200211,202002     ,113103,11671.0,11675.0,11670.0,11673.0,182
20200211,202002     ,113200,11673.0,11674.0,11669.0,11671.0,292
20200211,202002     ,113301,11671.0,11672.0,11670.0,11672.0,74
20200211,202002     ,113402,11673.0,11673.0,11672.0,11673.0,92
20200211,202002     ,113501,11672.0,11673.0,11670.0,11672.0,138
20200211,202002     ,113600,11673.0,11673.0,11671.0,11672.0,114
20200211,202002     ,113700,11672.0,11673.0,11671.0,11673.0,152
20200211,202002     ,113800,11673.0,11673.0,11671.0,11672.0,168
20200211,202002     ,113900,11672.0,11674.0,11670.0,11670.0,376
20200211,202002     ,114000,11670.0,11671.0,11666.0,11667.0,666
20200211,202002     ,114106,11667.0,11669.0,11666.0,11668.0,212
20200211,202002     ,114200,11669.0,11672.0,11669.0,11672.0,208
20200211,202002     ,114301,11672.0,11672.0,11671.0,11672.0,40
