Date,Open,High,Low,Close,NextClose,LSTM_pred,predªº§PÂ_,¹ê»Úªº§PÂ_,·Ç½T/¿ù»~
2018/8/1,0.967567568,0.95112782,0.994642857,0.998769231,0.890461538,0.9545273,¶^,¶^,·Ç½T
2018/8/2,0.975975976,0.945488722,0.906547619,0.890461538,0.951384615,0.8931082,º¦,º¦,·Ç½T
2018/8/3,0.907507508,0.901002506,0.945833333,0.951384615,0.958769231,0.9060908,¶^,º¦,¿ù»~
2018/8/6,0.941141141,0.937969925,0.9625,0.958769231,0.950153846,0.92601824,¶^,¶^,·Ç½T
2018/8/7,0.938738739,0.917293233,0.95952381,0.950153846,1,0.91678,¶^,º¦,¿ù»~
2018/8/8,0.947147147,0.959273183,0.986904762,1,0.980307692,0.95277286,¶^,¶^,·Ç½T
2018/8/9,0.965765766,0.939223058,0.970238095,0.980307692,0.944615385,0.9383597,¶^,¶^,·Ç½T
2018/8/10,0.929129129,0.929197995,0.960714286,0.944615385,0.820307692,0.91723996,¶^,¶^,·Ç½T
2018/8/13,0.892492492,0.860275689,0.805357143,0.820307692,0.859076923,0.81200874,¶^,º¦,¿ù»~
2018/8/14,0.821621622,0.80952381,0.843452381,0.859076923,0.808,0.81544304,¶^,¶^,·Ç½T
2018/8/15,0.848048048,0.815789474,0.807738095,0.808,0.779076923,0.79282457,¶^,¶^,·Ç½T
2018/8/16,0.712912913,0.742481203,0.745238095,0.779076923,0.756307692,0.73502856,¶^,¶^,·Ç½T
2018/8/17,0.780780781,0.747493734,0.778571429,0.756307692,0.826461538,0.74389666,¶^,º¦,¿ù»~
2018/8/21,0.765765766,0.773809524,0.799404762,0.826461538,0.824615385,0.7783082,¶^,¶^,·Ç½T
2018/8/22,0.798198198,0.786967419,0.829761905,0.824615385,0.872615385,0.7920417,¶^,º¦,¿ù»~
2018/8/23,0.824024024,0.818295739,0.844642857,0.872615385,0.839384615,0.8228697,¶^,¶^,·Ç½T
2018/8/24,0.833633634,0.808897243,0.826785714,0.839384615,0.899692308,0.80530065,¶^,º¦,¿ù»~
2018/8/27,0.845645646,0.847744361,0.881547619,0.899692308,0.943384615,0.85149246,¶^,º¦,¿ù»~
2018/8/28,0.914114114,0.902882206,0.95,0.943384615,0.984,0.905668,¶^,º¦,¿ù»~
2018/8/30,1,1,1,0.984,0.983384615,0.966798,¶^,¶^,·Ç½T
2018/8/31,0.932132132,0.930451128,0.960714286,0.983384615,0.929846154,0.93110913,¶^,¶^,·Ç½T
2018/9/3,0.954954955,0.943609023,0.94047619,0.929846154,0.971076923,0.91305596,¶^,º¦,¿ù»~
2018/9/4,0.924924925,0.917919799,0.95,0.971076923,0.939076923,0.920049,¶^,¶^,·Ç½T
2018/9/5,0.930930931,0.928571429,0.957738095,0.939076923,0.908923077,0.91457325,¶^,¶^,·Ç½T
2018/9/6,0.899099099,0.884085213,0.908333333,0.908923077,0.874461538,0.8763714,¶^,¶^,·Ç½T
2018/9/7,0.865465465,0.847744361,0.871428571,0.874461538,0.806153846,0.8421131,¶^,¶^,·Ç½T
2018/9/10,0.866066066,0.840225564,0.814880952,0.806153846,0.807384615,0.8020619,¶^,º¦,¿ù»~
2018/9/11,0.801801802,0.769423559,0.799404762,0.807384615,0.795692308,0.7741442,¶^,¶^,·Ç½T
2018/9/13,0.790990991,0.776942356,0.81547619,0.795692308,0.897230769,0.77524537,¶^,º¦,¿ù»~
2018/9/14,0.817417417,0.844611529,0.852380952,0.897230769,0.835076923,0.8394025,¶^,¶^,·Ç½T
2018/9/18,0.819219219,0.801378446,0.846428571,0.835076923,0.893538462,0.80574256,¶^,º¦,¿ù»~
2018/9/19,0.846246246,0.837719298,0.880952381,0.893538462,0.876307692,0.8467329,¶^,¶^,·Ç½T
2018/9/20,0.893093093,0.866541353,0.883928571,0.876307692,0.953846154,0.8536917,¶^,º¦,¿ù»~
2018/9/21,0.89009009,0.90037594,0.901785714,0.953846154,0.958153846,0.89332193,¶^,º¦,¿ù»~
2018/9/25,0.923123123,0.912907268,0.95,0.958153846,0.952615385,0.91417134,¶^,¶^,·Ç½T
