日期,交割月份,時間,Answer,LSTM_Prediction,LSTM_Loss
20180709,201807,100903,0.7361344537815118,0.6674632,
20180709,201807,101000,0.7361344537815118,0.6682055,
20180709,201807,101100,0.7355742296918759,0.66980207,
20180709,201807,101200,0.7322128851540608,0.67052484,
20180709,201807,101301,0.7310924369747891,0.6700978,
20180709,201807,101400,0.731652661064425,0.668517,
20180709,201807,101500,0.7310924369747891,0.667065,
20180709,201807,101600,0.7322128851540608,0.666955,
20180709,201807,101700,0.7338935574229684,0.66670537,
20180709,201807,101801,0.7350140056022401,0.6672249,
20180709,201807,101904,0.7299719887955174,0.6680138,
20180709,201807,102001,0.7305322128851532,0.6693392,
20180709,201807,102100,0.7299719887955174,0.66722226,
20180709,201807,102200,0.7294117647058815,0.6655619,
20180709,201807,102300,0.7282913165266098,0.66609085,
20180709,201807,102400,0.7305322128851532,0.6651008,
