Open,High,Low,Close,NextClose,LSTM_pred,predªº§PÂ_,¹ê»Úªº§PÂ_,·Ç½T/¿ù»~
0.182582583,0.135338346,0.181547619,0.195076923,0.274461538,0.17674729,¶^,º¦,¿ù»~
0.214414414,0.213659148,0.233928571,0.274461538,0.278769231,0.23923501,¶^,º¦,¿ù»~
0.336936937,0.281954887,0.310714286,0.278769231,0.264,0.29910827,º¦,¶^,¿ù»~
0.286486486,0.248120301,0.302380952,0.264,0.429538462,0.27438664,º¦,º¦,·Ç½T
0.353753754,0.386591479,0.393452381,0.429538462,0.380307692,0.3942493,¶^,¶^,·Ç½T
0.394594595,0.347744361,0.413095238,0.380307692,0.279384615,0.3822692,º¦,¶^,¿ù»~
0.286486486,0.255012531,0.311904762,0.279384615,0.153846154,0.283192,º¦,¶^,¿ù»~
0.234234234,0.172305764,0.170833333,0.153846154,0.198769231,0.17986757,º¦,º¦,·Ç½T
0.187387387,0.140350877,0.208333333,0.198769231,0.124307692,0.186176,¶^,¶^,·Ç½T
0.121921922,0.054511278,0.170833333,0.124307692,0.242461538,0.12710911,º¦,º¦,·Ç½T
0.201801802,0.180451128,0.229761905,0.242461538,0.265846154,0.21754897,¶^,º¦,¿ù»~
0.245045045,0.208646617,0.268452381,0.265846154,0.188307692,0.24936083,¶^,¶^,·Ç½T
0.229429429,0.169172932,0.200595238,0.188307692,0.225230769,0.19587468,º¦,º¦,·Ç½T
0.198198198,0.179824561,0.22797619,0.225230769,0.180923077,0.21072105,¶^,¶^,·Ç½T
0.177177177,0.135338346,0.207738095,0.180923077,0.211692308,0.17738244,¶^,º¦,¿ù»~
,,,,,,,,
,,,,,,,·Ç½T¦¸¼Æ,60
,,,,,,,¿ù»~¦¸¼Æ,48
,,,,,,,Á`¦¸¼Æ,107
,,,,,,,·Ç½T²v,0.560747664
