日期,交割月份,時間,Open,High,Low,Volume,Close,NextClose,Y_pred,"pred(True:漲,False:跌)","Ans(True:漲,False:跌)","accurace(True:準確,False:不准)"
20180709,201807,94100,0.714845938,0.712521056,0.713646532,0.038765342,0.713165266,0.714285714,0.691497803,TRUE,FALSE,FALSE
20180709,201807,94200,0.713165266,0.71364402,0.713646532,0.078745899,0.713165266,0.713165266,0.694136262,TRUE,TRUE,TRUE
20180709,201807,94300,0.71372549,0.711959573,0.715324385,0.021752339,0.71372549,0.713165266,0.694197893,TRUE,TRUE,TRUE
20180709,201807,94400,0.714285714,0.71364402,0.717002237,0.052132701,0.715966387,0.71372549,0.694250703,TRUE,TRUE,TRUE
20180709,201807,94500,0.715966387,0.72094329,0.718680089,0.284117147,0.721568627,0.715966387,0.694526672,TRUE,TRUE,TRUE
20180709,201807,94600,0.722689076,0.722066255,0.724272931,0.100255195,0.722128852,0.721568627,0.696206927,TRUE,TRUE,TRUE
20180709,201807,94700,0.7232493,0.722627737,0.724832215,0.13002795,0.723809524,0.722128852,0.700549603,TRUE,TRUE,TRUE
20180709,201807,94800,0.724369748,0.72824256,0.725950783,0.364321303,0.727731092,0.723809524,0.703205585,TRUE,TRUE,TRUE
20180709,201807,94900,0.728851541,0.727681078,0.731543624,0.124316442,0.729411765,0.727731092,0.704138041,TRUE,FALSE,FALSE
20180709,201807,95000,0.729971989,0.729365525,0.73098434,0.157491797,0.728851541,0.729411765,0.707216501,TRUE,FALSE,FALSE
20180709,201807,95100,0.729411765,0.72824256,0.73098434,0.084214364,0.727731092,0.728851541,0.709636331,TRUE,FALSE,FALSE
20180709,201807,95200,0.728291317,0.727119596,0.727628635,0.16526917,0.724929972,0.727731092,0.709826469,TRUE,TRUE,TRUE
20180709,201807,95300,0.72605042,0.724873666,0.728187919,0.046299672,0.72605042,0.724929972,0.709114075,FALSE,TRUE,FALSE
20180709,201807,95400,0.726610644,0.725996631,0.728747204,0.053590959,0.726610644,0.72605042,0.706861258,FALSE,TRUE,FALSE
20180709,201807,95500,0.727170868,0.732172937,0.729865772,0.241949204,0.732212885,0.726610644,0.706656575,FALSE,FALSE,TRUE
20180709,201807,95600,0.732212885,0.73048849,0.73098434,0.10232106,0.729411765,0.732212885,0.707326055,TRUE,TRUE,TRUE
20180709,201807,95700,0.730532213,0.73048849,0.731543624,0.092113258,0.730532213,0.729411765,0.71111846,TRUE,FALSE,FALSE
20180709,201807,95802,0.731092437,0.729365525,0.73098434,0.065500061,0.727731092,0.730532213,0.710602283,FALSE,TRUE,FALSE
20180709,201807,95900,0.728291317,0.729365525,0.73098434,0.067565925,0.729411765,0.727731092,0.710947752,TRUE,TRUE,TRUE
20180709,201807,100000,0.729971989,0.731049972,0.732662192,0.117389719,0.731092437,0.729411765,0.709598184,FALSE,FALSE,TRUE
20180709,201807,100100,0.732212885,0.73048849,0.731543624,0.06379876,0.729411765,0.731092437,0.709879875,TRUE,TRUE,TRUE
20180709,201807,100200,0.729971989,0.728804043,0.732102908,0.067687447,0.731092437,0.729411765,0.711467385,TRUE,TRUE,TRUE
20180709,201807,100300,0.731652661,0.733295901,0.734340045,0.159193098,0.734453782,0.731092437,0.710751772,FALSE,FALSE,TRUE
20180709,201807,100400,0.735014006,0.733295901,0.735458613,0.054806173,0.733893557,0.734453782,0.710818529,TRUE,FALSE,FALSE
20180709,201807,100500,0.733893557,0.732734419,0.734899329,0.061854417,0.733333333,0.733893557,0.713816524,TRUE,FALSE,FALSE
20180709,201807,100602,0.733893557,0.732172937,0.735458613,0.046299672,0.733333333,0.733333333,0.714319706,TRUE,FALSE,FALSE
20180709,201807,100700,0.733893557,0.731049972,0.733221477,0.057479645,0.730532213,0.733333333,0.713711262,FALSE,TRUE,FALSE
20180709,201807,100800,0.731092437,0.729927007,0.732662192,0.043383157,0.731652661,0.730532213,0.713711262,FALSE,TRUE,FALSE
20180709,201807,100903,0.732773109,0.731611454,0.734340045,0.041681857,0.732212885,0.731652661,0.711889625,FALSE,TRUE,FALSE
20180709,201807,101000,0.732773109,0.732172937,0.734899329,0.051282051,0.733893557,0.732212885,0.711572051,FALSE,TRUE,FALSE
20180709,201807,101100,0.735014006,0.734980348,0.736577181,0.14011423,0.736134454,0.733893557,0.712774396,TRUE,FALSE,FALSE
20180709,201807,101200,0.737254902,0.734980348,0.737695749,0.068416576,0.736134454,0.736134454,0.713651657,TRUE,FALSE,FALSE
20180709,201807,101301,0.736694678,0.734418866,0.737136465,0.054806173,0.73557423,0.736134454,0.715768814,TRUE,FALSE,FALSE
20180709,201807,101400,0.736694678,0.734418866,0.734899329,0.062583546,0.732212885,0.73557423,0.716328621,TRUE,FALSE,FALSE
20180709,201807,101500,0.733333333,0.732172937,0.733780761,0.068902661,0.731092437,0.732212885,0.715797305,FALSE,TRUE,FALSE
20180709,201807,101600,0.731652661,0.73048849,0.734340045,0.033661441,0.731652661,0.731092437,0.714044094,FALSE,FALSE,TRUE
20180709,201807,101700,0.732212885,0.73048849,0.733780761,0.037671649,0.731092437,0.731652661,0.712423682,FALSE,TRUE,FALSE
20180709,201807,101801,0.732212885,0.729927007,0.734899329,0.026491676,0.732212885,0.731092437,0.712165713,FALSE,TRUE,FALSE
20180709,201807,101904,0.732773109,0.731611454,0.734340045,0.040345121,0.733893557,0.732212885,0.711896658,FALSE,TRUE,FALSE
20180709,201807,102001,0.734453782,0.733295901,0.736577181,0.049580751,0.735014006,0.733893557,0.712434173,TRUE,FALSE,FALSE
